urbanArea	uace	population	name	place1	place1Label	place1coords	place2	place2Label	place2coords	place3	place3Label	place3coords	places	popPerPlace	rank
http://www.wikidata.org/entity/Q125801527	00037	18078	Abbeville, LA Urban Area	http://www.wikidata.org/entity/Q306328	Abbeville	Point(-92.129166666 29.9725)							1	18078	minor
http://www.wikidata.org/entity/Q125801528	00064	4940	Abbeville, SC Urban Area	http://www.wikidata.org/entity/Q1989375	Abbeville	Point(-82.379166666 34.178611111)							1	4940	minor
http://www.wikidata.org/entity/Q125801530	00145	27982	Aberdeen, SD Urban Area	http://www.wikidata.org/entity/Q236713	Aberdeen	Point(-98.486388888 45.464722222)							1	27982	minor
http://www.wikidata.org/entity/Q125801531	00172	26603	Aberdeen, WA Urban Area										1	26603	minor
http://www.wikidata.org/entity/Q125801532	00253	6605	Abilene, KS Urban Area	http://www.wikidata.org/entity/Q321292	Abilene	Point(-97.217222222 38.919722222)							1	6605	minor
http://www.wikidata.org/entity/Q125801533	00280	118138	Abilene, TX Urban Area	http://www.wikidata.org/entity/Q128295	Abilene	Point(-99.745555555 32.446388888)							1	118138	major
http://www.wikidata.org/entity/Q125801534	00388	5343	Ada, OH Urban Area	http://www.wikidata.org/entity/Q1934356	Ada	Point(-83.822222222 40.768611111)							1	5343	minor
http://www.wikidata.org/entity/Q125801535	00415	17264	Ada, OK Urban Area	http://www.wikidata.org/entity/Q345921	Ada	Point(-96.668333333 34.763611111)							1	17264	minor
http://www.wikidata.org/entity/Q125801536	00442	5799	Adairsville, GA Urban Area	http://www.wikidata.org/entity/Q346990	Adairsville	Point(-84.928055555 34.368888888)							1	5799	minor
http://www.wikidata.org/entity/Q125801537	00469	7034	Adel, GA Urban Area	http://www.wikidata.org/entity/Q353662	Adel	Point(-83.425833333 31.138333333)							1	7034	minor
http://www.wikidata.org/entity/Q125801539	00496	5674	Adel, IA Urban Area	http://www.wikidata.org/entity/Q165718	Adel	Point(-94.021666666 41.616666666)							1	5674	minor
http://www.wikidata.org/entity/Q125801540	00550	8008	Adjuntas, PR Urban Area	http://www.wikidata.org/entity/Q125775178	Adjuntas	Point(-66.723537 18.163777)							1	8008	minor
http://www.wikidata.org/entity/Q125801540	00550	8008	Adjuntas, PR Urban Area	http://www.wikidata.org/entity/Q125775178	Adjuntas	Point(-66.723538 18.163778)							1	8008	minor
http://www.wikidata.org/entity/Q125801541	00577	29206	Adrian, MI Urban Area	http://www.wikidata.org/entity/Q372304	Adrian	Point(-84.037222222 41.8975)							1	29206	minor
